,shortName,playerName,team,efficiency,8+_defendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week
29,R.Freeman,Royce Freeman,DEN,3.33,--,3.04,10,56,5.6,0,2019,REG,1
30,S.Barkley,Saquon Barkley,NYG,1.94,36.36,3.05,11,120,10.9,0,2019,REG,1
31,S.Michel,Sony Michel,NE,14.9,--,2.6,15,14,0.9,0,2019,REG,1
32,T.Gurley,Todd Gurley,LAR,2.98,--,2.7,14,97,6.9,0,2019,REG,1
33,T.Pollard,Tony Pollard,DAL,7.59,7.69,3.33,13,24,1.8,0,2019,REG,1
34,A.Jones,Aaron Jones,GB,3.87,30.43,2.86,23,116,5,1,2019,REG,2
35,A.Peterson,Adrian Peterson,WAS,6.06,40,2.92,10,25,2.5,1,2019,REG,2
36,A.Kamara,Alvin Kamara,NO,4.07,38.46,2.59,13,45,3.5,0,2019,REG,2
37,A.Ekeler,Austin Ekeler,LAC,4.47,--,2.99,17,66,3.9,1,2019,REG,2
38,C.Hyde,Carlos Hyde,HOU,3.16,5,2.63,20,90,4.5,0,2019,REG,2
39,C.Carson,Chris Carson,SEA,3.94,--,2.59,15,60,4,0,2019,REG,2
40,C.Mccaffrey,Christian McCaffrey,CAR,6.87,12.5,3.01,16,37,2.3,0,2019,REG,2
41,D.Cook,Dalvin Cook,MIN,3.01,10,2.89,20,154,7.7,1,2019,REG,2
42,D.Montgomery,David Montgomery,CHI,3.9,11.11,2.75,18,62,3.4,1,2019,REG,2
43,D.Henry,Derrick Henry,TEN,3.48,20,2.94,15,82,5.5,1,2019,REG,2
44,D.Freeman,Devonta Freeman,ATL,6.67,27.27,2.6,11,22,2,0,2019,REG,2
45,E.Elliott,Ezekiel Elliott,DAL,3.03,39.13,2.46,23,111,4.8,1,2019,REG,2
46,F.Gore,Frank Gore,BUF,3.5,78.95,2.47,19,68,3.6,1,2019,REG,2
47,J.Conner,James Conner,PIT,4.53,72.73,2.68,11,33,3,1,2019,REG,2
48,J.Wilson,Jeff Wilson,SF,4.46,80,2.67,10,34,3.4,2,2019,REG,2
49,J.Mixon,Joe Mixon,CIN,8.65,--,2.98,11,17,1.5,0,2019,REG,2
50,J.Jacobs,Josh Jacobs,OAK,2.59,--,2.51,12,99,8.3,0,2019,REG,2
51,K.Johnson,Kerryon Johnson,DET,3.89,8.33,2.84,12,41,3.4,0,2019,REG,2
52,L.Bell,Le'Veon Bell,NYJ,4.17,14.29,2.97,21,68,3.2,0,2019,REG,2
53,L.Mccoy,LeSean McCoy,KC,8.28,9.09,2.88,11,23,2.1,0,2019,REG,2
54,L.Fournette,Leonard Fournette,JAX,4.86,26.67,3.03,15,47,3.1,0,2019,REG,2
55,M.Ingram,Mark Ingram,BAL,4.07,46.15,2.91,13,47,3.6,0,2019,REG,2
56,M.Mack,Marlon Mack,IND,6.07,10,3.7,20,51,2.6,0,2019,REG,2
57,M.Breida,Matt Breida,SF,2.62,41.67,2.98,12,121,10.1,0,2019,REG,2
58,M.Sanders,Miles Sanders,PHI,5.67,--,3.04,10,28,2.8,0,2019,REG,2
59,N.Chubb,Nick Chubb,CLE,5.42,27.78,3.14,18,62,3.4,1,2019,REG,2
60,P.Barber,Peyton Barber,TB,3.72,30.43,2.73,23,81,3.5,1,2019,REG,2
61,P.Lindsay,Phillip Lindsay,DEN,7.36,7.69,3.43,13,36,2.8,0,2019,REG,2
62,R.Mostert,Raheem Mostert,SF,3.23,46.15,3.09,13,83,6.4,0,2019,REG,2
63,R.Penny,Rashaad Penny,SEA,2.66,--,2.65,10,62,6.2,1,2019,REG,2
64,R.Freeman,Royce Freeman,DEN,3.64,--,2.76,11,54,4.9,0,2019,REG,2
65,S.Barkley,Saquon Barkley,NYG,2.77,5.56,2.75,18,107,5.9,1,2019,REG,2
66,S.Michel,Sony Michel,NE,3.82,4.76,2.49,21,83,4,1,2019,REG,2
67,T.Gurley,Todd Gurley,LAR,5.01,6.25,3.17,16,63,3.9,1,2019,REG,2
68,A.Jones,Aaron Jones,GB,9.99,10,3.03,10,19,1.9,2,2019,REG,3
69,A.Mattison,Alexander Mattison,MIN,3.8,8.33,2.59,12,58,4.8,1,2019,REG,3
70,A.Kamara,Alvin Kamara,NO,3.71,37.5,2.71,16,69,4.3,1,2019,REG,3
71,C.Hyde,Carlos Hyde,HOU,8.09,--,3.11,10,19,1.9,1,2019,REG,3
72,C.Carson,Chris Carson,SEA,4.44,13.33,2.81,15,53,3.5,0,2019,REG,3
73,C.Mccaffrey,Christian McCaffrey,CAR,2.43,29.17,2.68,24,153,6.4,1,2019,REG,3
74,D.Cook,Dalvin Cook,MIN,3.2,18.75,2.66,16,110,6.9,1,2019,REG,3
75,D.Johnson,David Johnson,ARI,3.95,--,2.68,11,37,3.4,0,2019,REG,3
76,D.Henry,Derrick Henry,TEN,7.17,23.53,3.29,17,44,2.6,1,2019,REG,3
77,D.Freeman,Devonta Freeman,ATL,2.93,31.25,2.82,16,88,5.5,0,2019,REG,3
78,E.Elliott,Ezekiel Elliott,DAL,2.78,--,2.59,19,125,6.6,0,2019,REG,3
79,F.Gore,Frank Gore,BUF,2.83,50,2.51,14,76,5.4,1,2019,REG,3
80,J.Williams,Jamaal Williams,GB,3.91,8.33,2.73,12,59,4.9,0,2019,REG,3
81,J.Conner,James Conner,PIT,4.08,7.69,2.69,13,43,3.3,0,2019,REG,3
82,J.Mixon,Joe Mixon,CIN,4.07,--,2.84,15,61,4.1,0,2019,REG,3
83,J.Howard,Jordan Howard,PHI,4.15,9.09,2.59,11,37,3.4,1,2019,REG,3
84,J.Jacobs,Josh Jacobs,OAK,3.27,30,2.46,10,44,4.4,0,2019,REG,3
85,K.Drake,Kenyan Drake,MIA,4.57,8.33,2.59,12,38,3.2,0,2019,REG,3
86,K.Johnson,Kerryon Johnson,DET,6.54,60,2.86,20,36,1.8,1,2019,REG,3
87,L.Bell,Le'Veon Bell,NYJ,6.99,16.67,2.85,18,35,1.9,0,2019,REG,3
88,L.Fournette,Leonard Fournette,JAX,4.2,40,2.85,15,66,4.4,0,2019,REG,3
89,M.Ingram,Mark Ingram,BAL,2.76,31.25,2.61,16,103,6.4,3,2019,REG,3
90,M.Mack,Marlon Mack,IND,4.15,50,3.09,16,74,4.6,1,2019,REG,3
91,M.Breida,Matt Breida,SF,4.41,--,2.72,14,68,4.9,0,2019,REG,3
92,M.Sanders,Miles Sanders,PHI,4.21,--,2.96,13,53,4.1,0,2019,REG,3
93,N.Chubb,Nick Chubb,CLE,3.65,4.55,2.71,22,93,4.2,0,2019,REG,3
94,P.Barber,Peyton Barber,TB,3.55,7.69,2.53,13,48,3.7,0,2019,REG,3
95,P.Lindsay,Phillip Lindsay,DEN,3.75,--,2.76,21,81,3.9,2,2019,REG,3
96,R.Mostert,Raheem Mostert,SF,2.8,--,2.37,12,79,6.6,0,2019,REG,3
97,R.Burkhead,Rex Burkhead,NE,3.08,--,2.51,11,47,4.3,1,2019,REG,3
98,R.Jones,Ronald Jones,TB,2.7,35.71,2.33,14,80,5.7,0,2019,REG,3
99,R.Freeman,Royce Freeman,DEN,4.81,6.67,3.01,15,63,4.2,0,2019,REG,3
100,T.Gurley,Todd Gurley,LAR,5.14,7.14,2.86,14,43,3.1,0,2019,REG,3
101,T.Pollard,Tony Pollard,DAL,2.79,--,2.94,13,103,7.9,1,2019,REG,3
