,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week,gameId
33,D.Guice,Derrius Guice,WAS,8.18,10,2.59,10,18,1.8,0,2019,REG,1,2019090806
34,A.Ekeler,Austin Ekeler,LAC,4.47,,2.99,17,66,3.9,1,2019,REG,2,2019091502
35,C.McCaffrey,Christian McCaffrey,CAR,6.87,12.5,3.01,16,37,2.3,0,2019,REG,2,2019091200
36,A.Jones,Aaron Jones,GB,3.87,30.43,2.86,23,116,5,1,2019,REG,2,2019091503
37,M.Breida,Matt Breida,SF,2.62,41.67,2.98,12,121,10.1,0,2019,REG,2,2019091501
38,F.Gore,Frank Gore,BUF,3.5,78.95,2.47,19,68,3.6,1,2019,REG,2,2019091506
39,P.Barber,Peyton Barber,TB,3.72,30.43,2.73,23,81,3.5,1,2019,REG,2,2019091200
40,M.Mack,Marlon Mack,IND,6.07,10,3.7,20,51,2.6,0,2019,REG,2,2019091508
41,D.Cook,Dalvin Cook,MIN,3.01,10,2.89,20,154,7.7,1,2019,REG,2,2019091503
42,R.Penny,Rashaad Penny,SEA,2.66,,2.65,10,62,6.2,1,2019,REG,2,2019091507
43,L.Fournette,Leonard Fournette,JAX,4.86,26.67,3.03,15,47,3.1,0,2019,REG,2,2019091504
44,M.Ingram,Mark Ingram,BAL,4.07,46.15,2.91,13,47,3.6,0,2019,REG,2,2019091500
45,E.Elliott,Ezekiel Elliott,DAL,3.03,39.13,2.46,23,111,4.8,1,2019,REG,2,2019091509
46,S.Michel,Sony Michel,NE,3.82,4.76,2.49,21,83,4,1,2019,REG,2,2019091505
47,J.Wilson,Jeff Wilson,SF,4.46,80,2.67,10,34,3.4,2,2019,REG,2,2019091501
48,A.Kamara,Alvin Kamara,NO,4.07,38.46,2.59,13,45,3.5,0,2019,REG,2,2019091512
49,D.Freeman,Devonta Freeman,ATL,6.67,27.27,2.6,11,22,2,0,2019,REG,2,2019091513
50,J.Mixon,Joe Mixon,CIN,8.65,,2.98,11,17,1.5,0,2019,REG,2,2019091501
51,R.Freeman,Royce Freeman,DEN,3.64,,2.76,11,54,4.9,0,2019,REG,2,2019091511
52,L.McCoy,LeSean McCoy,KC,8.28,9.09,2.88,11,23,2.1,0,2019,REG,2,2019091510
53,P.Lindsay,Phillip Lindsay,DEN,7.36,7.69,3.43,13,36,2.8,0,2019,REG,2,2019091511
54,T.Gurley,Todd Gurley,LA,5.01,6.25,3.17,16,63,3.9,1,2019,REG,2,2019091512
55,M.Sanders,Miles Sanders,PHI,5.67,,3.04,10,28,2.8,0,2019,REG,2,2019091513
56,R.Mostert,Raheem Mostert,SF,3.23,46.15,3.09,13,83,6.4,0,2019,REG,2,2019091501
57,D.Montgomery,David Montgomery,CHI,3.9,11.11,2.75,18,62,3.4,1,2019,REG,2,2019091511
58,J.Jacobs,Josh Jacobs,OAK,2.59,,2.51,12,99,8.3,0,2019,REG,2,2019091510
59,N.Chubb,Nick Chubb,CLE,5.42,27.78,3.14,18,62,3.4,1,2019,REG,2,2019091600
60,C.Hyde,Carlos Hyde,HOU,3.16,5,2.63,20,90,4.5,0,2019,REG,2,2019091504
61,S.Barkley,Saquon Barkley,NYG,2.77,5.56,2.75,18,107,5.9,1,2019,REG,2,2019091506
62,C.Carson,Chris Carson,SEA,3.94,,2.59,15,60,4,0,2019,REG,2,2019091507
63,D.Henry,Derrick Henry,TEN,3.48,20,2.94,15,82,5.5,1,2019,REG,2,2019091508
64,A.Peterson,Adrian Peterson,WAS,6.06,40,2.92,10,25,2.5,1,2019,REG,2,2019091509
65,K.Johnson,Kerryon Johnson,DET,3.89,8.33,2.84,12,41,3.4,0,2019,REG,2,2019091502
66,L.Bell,Le'Veon Bell,NYJ,4.17,14.29,2.97,21,68,3.2,0,2019,REG,2,2019091600
67,J.Conner,James Conner,PIT,4.53,72.73,2.68,11,33,3,1,2019,REG,2,2019091507
68,M.Sanders,Miles Sanders,PHI,4.21,,2.96,13,53,4.1,0,2019,REG,3,2019092207
69,C.McCaffrey,Christian McCaffrey,CAR,2.43,29.17,2.68,24,153,6.4,1,2019,REG,3,2019092208
70,R.Freeman,Royce Freeman,DEN,4.81,6.67,3.01,15,63,4.2,0,2019,REG,3,2019092202
71,F.Gore,Frank Gore,BUF,2.83,50,2.51,14,76,5.4,1,2019,REG,3,2019092200
72,L.Bell,Le'Veon Bell,NYJ,6.99,16.67,2.85,18,35,1.9,0,2019,REG,3,2019092206
73,P.Lindsay,Phillip Lindsay,DEN,3.75,,2.76,21,81,3.9,2,2019,REG,3,2019092202
74,R.Mostert,Raheem Mostert,SF,2.8,,2.37,12,79,6.6,0,2019,REG,3,2019092212
75,D.Henry,Derrick Henry,TEN,7.17,23.53,3.29,17,44,2.6,1,2019,REG,3,2019091900
76,J.Howard,Jordan Howard,PHI,4.15,9.09,2.59,11,37,3.4,1,2019,REG,3,2019092207
77,L.Fournette,Leonard Fournette,JAX,4.2,40,2.85,15,66,4.4,0,2019,REG,3,2019091900
78,C.Carson,Chris Carson,SEA,4.52,13.33,2.81,15,52,3.5,0,2019,REG,3,2019092211
79,A.Mattison,Alexander Mattison,MIN,3.8,8.33,2.59,12,58,4.8,1,2019,REG,3,2019092205
80,D.Johnson,David Johnson,ARI,3.95,,2.68,11,37,3.4,0,2019,REG,3,2019092208
81,E.Elliott,Ezekiel Elliott,DAL,2.78,,2.59,19,125,6.6,0,2019,REG,3,2019092201
82,D.Montgomery,David Montgomery,CHI,3.28,38.46,2.58,13,67,5.2,0,2019,REG,3,2019092300
83,J.Jacobs,Josh Jacobs,OAK,3.27,30,2.46,10,44,4.4,0,2019,REG,3,2019092205
84,P.Barber,Peyton Barber,TB,3.55,7.69,2.53,13,48,3.7,0,2019,REG,3,2019092209
85,J.Mixon,Joe Mixon,CIN,4.14,,2.85,15,60,4,0,2019,REG,3,2019092200
86,M.Breida,Matt Breida,SF,4.41,,2.72,14,68,4.9,0,2019,REG,3,2019092212
87,C.Hyde,Carlos Hyde,HOU,8.09,,3.11,10,19,1.9,1,2019,REG,3,2019092210
88,J.Conner,James Conner,PIT,4.08,7.69,2.69,13,43,3.3,0,2019,REG,3,2019092212
89,A.Peterson,Adrian Peterson,WAS,4.3,16.67,2.74,12,37,3.1,0,2019,REG,3,2019092300
90,M.Mack,Marlon Mack,IND,4.15,50,3.09,16,74,4.6,1,2019,REG,3,2019092203
91,T.Gurley,Todd Gurley,LA,5.14,7.14,2.86,14,43,3.1,0,2019,REG,3,2019092213
92,T.Pollard,Tony Pollard,DAL,2.79,,2.94,13,103,7.9,1,2019,REG,3,2019092201
93,D.Freeman,Devonta Freeman,ATL,2.93,31.25,2.82,16,88,5.5,0,2019,REG,3,2019092203
94,R.Burkhead,Rex Burkhead,NE,3.08,,2.51,11,47,4.3,1,2019,REG,3,2019092206
95,R.Jones,Ronald Jones,TB,2.7,35.71,2.33,14,80,5.7,0,2019,REG,3,2019092209
96,A.Kamara,Alvin Kamara,NO,3.71,37.5,2.71,16,69,4.3,1,2019,REG,3,2019092211
97,D.Cook,Dalvin Cook,MIN,3.2,18.75,2.66,16,110,6.9,1,2019,REG,3,2019092205
98,J.Williams,Jamaal Williams,GB,3.91,8.33,2.73,12,59,4.9,0,2019,REG,3,2019092202
99,M.Ingram,Mark Ingram,BAL,2.76,31.25,2.61,16,103,6.4,3,2019,REG,3,2019092204
100,A.Jones,Aaron Jones,GB,9.99,10,3.03,10,19,1.9,2,2019,REG,3,2019092202
101,N.Chubb,Nick Chubb,CLE,3.65,4.35,2.68,23,96,4.2,0,2019,REG,3,2019092213
102,K.Drake,Kenyan Drake,MIA,4.57,8.33,2.59,12,38,3.2,0,2019,REG,3,2019092201
103,K.Johnson,Kerryon Johnson,DET,6.54,60,2.86,20,36,1.8,1,2019,REG,3,2019092207
104,E.Elliott,Ezekiel Elliott,DAL,6.34,11.11,2.69,18,35,1.9,1,2019,REG,4,2019092912
105,F.Gore,Frank Gore,BUF,2.44,17.65,2.55,17,109,6.4,0,2019,REG,4,2019092902
106,D.Cook,Dalvin Cook,MIN,6.5,35.71,3.01,14,35,2.5,1,2019,REG,4,2019092910
107,M.Ingram,Mark Ingram,BAL,2.86,8.33,2.49,12,71,5.9,0,2019,REG,4,2019092901
108,M.Sanders,Miles Sanders,PHI,3.24,,3.05,11,72,6.5,0,2019,REG,4,2019092600
109,D.Johnson,David Johnson,ARI,3.68,9.09,2.67,11,40,3.6,0,2019,REG,4,2019092908
110,C.Carson,Chris Carson,SEA,4,31.82,2.94,22,104,4.7,0,2019,REG,4,2019092908
111,A.Kamara,Alvin Kamara,NO,4.25,11.76,2.58,17,69,4.1,0,2019,REG,4,2019092912
112,L.McCoy,LeSean McCoy,KC,3.39,,2.51,11,56,5.1,1,2019,REG,4,2019092903
113,L.Fournette,Leonard Fournette,JAX,2.57,24.14,2.71,29,225,7.8,0,2019,REG,4,2019092911
114,R.Jones,Ronald Jones,TB,4.92,42.11,2.67,19,70,3.7,1,2019,REG,4,2019092909
115,C.Hyde,Carlos Hyde,HOU,3.15,25,2.86,12,58,4.8,0,2019,REG,4,2019092904
116,A.Peterson,Adrian Peterson,WAS,5.59,27.27,2.63,11,28,2.5,0,2019,REG,4,2019092907
117,J.Jacobs,Josh Jacobs,OAK,3.74,,2.76,17,79,4.6,0,2019,REG,4,2019092905
118,A.Ekeler,Austin Ekeler,LAC,5.07,27.78,3.06,18,60,3.3,1,2019,REG,4,2019092906
119,N.Chubb,Nick Chubb,CLE,2.98,10,2.97,20,165,8.3,3,2019,REG,4,2019092901
120,K.Johnson,Kerryon Johnson,DET,3.67,7.69,2.63,26,125,4.8,0,2019,REG,4,2019092903
121,C.McCaffrey,Christian McCaffrey,CAR,4.54,14.81,2.77,27,93,3.4,1,2019,REG,4,2019092904
122,J.Howard,Jordan Howard,PHI,2.96,,2.68,15,87,5.8,2,2019,REG,4,2019092600
123,A.Jones,Aaron Jones,GB,9.66,23.08,3.04,13,21,1.6,1,2019,REG,4,2019092600
124,M.Mack,Marlon Mack,IND,5.17,18.18,2.83,11,39,3.5,0,2019,REG,4,2019092905
125,D.Freeman,Devonta Freeman,ATL,5.85,16.67,2.82,12,28,2.3,0,2019,REG,4,2019092900
126,D.Montgomery,David Montgomery,CHI,5.85,28.57,2.85,21,53,2.5,0,2019,REG,4,2019092910
127,T.Pope,Troymaine Pope,LAC,8.28,40,3.24,10,20,2,0,2019,REG,4,2019092906
128,D.Henry,Derrick Henry,TEN,4.03,70.37,2.88,27,100,3.7,0,2019,REG,4,2019092900
129,W.Gallman,Wayne Gallman,NYG,3.77,44.44,2.52,18,63,3.5,1,2019,REG,4,2019092907
130,J.Hilliman,Jon Hilliman,NYG,3.42,40,2.4,10,33,3.3,0,2019,REG,4,2019092907
131,S.Michel,Sony Michel,NE,4.71,52.94,3.09,17,63,3.7,0,2019,REG,4,2019092902
